"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-01,"AS","ANC","Anchorage, AK","LAX","Los Angeles, CA","2315",-7.00,0.00,"0510",-20.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","OME","Nome, AK","1000",,,"",,,1.00,,,,,,
2017-12-01,"AS","OME","Nome, AK","ANC","Anchorage, AK","1237",,,"",,,1.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","OTZ","Kotzebue, AK","1620",20.00,20.00,"1811",12.00,12.00,0.00,,,,,,
2017-12-01,"AS","OME","Nome, AK","ANC","Anchorage, AK","2029",,,"",,,1.00,,,,,,
2017-12-01,"AS","OTZ","Kotzebue, AK","OME","Nome, AK","1856",6.00,6.00,"",,,0.00,,,,,,
2017-12-01,"AS","OTZ","Kotzebue, AK","ANC","Anchorage, AK","0840",-3.00,0.00,"1004",-7.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","OTZ","Kotzebue, AK","0610",-3.00,0.00,"0742",-7.00,0.00,0.00,,,,,,
2017-12-01,"AS","FAI","Fairbanks, AK","ANC","Anchorage, AK","0545",-14.00,0.00,"0640",-11.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","FAI","Fairbanks, AK","2309",-7.00,0.00,"2354",-17.00,0.00,0.00,,,,,,
2017-12-01,"AS","JNU","Juneau, AK","SEA","Seattle, WA","0515",15.00,15.00,"0856",14.00,14.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","JNU","Juneau, AK","2245",3.00,3.00,"0023",-1.00,0.00,0.00,,,,,,
2017-12-01,"AS","LAX","Los Angeles, CA","ANC","Anchorage, AK","2355",-7.00,0.00,"0425",-20.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","1210",-3.00,0.00,"1452",6.00,6.00,0.00,,,,,,
2017-12-01,"AS","FAI","Fairbanks, AK","ANC","Anchorage, AK","1153",-11.00,0.00,"1245",-14.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","FAI","Fairbanks, AK","1455",-9.00,0.00,"1541",-16.00,0.00,0.00,,,,,,
2017-12-01,"AS","FAI","Fairbanks, AK","ANC","Anchorage, AK","1700",-3.00,0.00,"1754",-12.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","FAI","Fairbanks, AK","0950",-7.00,0.00,"1046",-6.00,0.00,0.00,,,,,,
