,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
169,2017-03-01,AA,CLT,"Charlotte, NC",CLE,"Cleveland, OH",1305,-8.0,0.0,1444.0,4.0,4.0,0.0,,,,,,
170,2017-03-01,NK,RSW,"Fort Myers, FL",CLE,"Cleveland, OH",1810,23.0,23.0,2105.0,9.0,9.0,0.0,,,,,,
171,2017-03-01,NK,CLE,"Cleveland, OH",RSW,"Fort Myers, FL",1439,5.0,5.0,1724.0,-1.0,0.0,0.0,,,,,,
172,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",600,171.0,171.0,1045.0,157.0,157.0,0.0,157.0,0.0,0.0,0.0,0.0,
179,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1455,0.0,0.0,1631.0,-13.0,0.0,0.0,,,,,,
180,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1724,50.0,50.0,2057.0,97.0,97.0,0.0,0.0,0.0,97.0,0.0,0.0,
193,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1028,-4.0,0.0,1209.0,-6.0,0.0,0.0,,,,,,
194,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1255,-2.0,0.0,1445.0,-8.0,0.0,0.0,,,,,,
204,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1800,9.0,9.0,1943.0,-10.0,0.0,0.0,,,,,,
206,2017-03-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",826,-1.0,0.0,1014.0,0.0,0.0,0.0,,,,,,
207,2017-03-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1055,5.0,5.0,1245.0,-8.0,0.0,0.0,,,,,,
