,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
280,2017-08-01,DL,CLE,"Cleveland, OH",MSP,"Minneapolis, MN",700,4.0,4.0,746.0,-21.0,0.0,0.0,,,,,,
283,2017-08-01,DL,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",2015,-5.0,0.0,2303.0,-11.0,0.0,0.0,,,,,,
285,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1000,-5.0,0.0,1150.0,0.0,0.0,0.0,,,,,,
286,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1230,-4.0,0.0,1413.0,-5.0,0.0,0.0,,,,,,
296,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",830,-7.0,0.0,1013.0,1.0,1.0,0.0,,,,,,
298,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1620,-6.0,0.0,1747.0,-28.0,0.0,0.0,,,,,,
299,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1855,4.0,4.0,2043.0,-2.0,0.0,0.0,,,,,,
303,2017-08-01,DL,CLE,"Cleveland, OH",DTW,"Detroit, MI",625,0.0,0.0,703.0,-16.0,0.0,0.0,,,,,,
304,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",827,-6.0,0.0,1027.0,12.0,12.0,0.0,,,,,,
305,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1055,6.0,6.0,1240.0,2.0,2.0,0.0,,,,,,
314,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1227,-5.0,0.0,1355.0,-24.0,0.0,0.0,,,,,,
315,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1459,0.0,0.0,1638.0,-8.0,0.0,0.0,,,,,,
316,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2223,-5.0,0.0,2346.0,-29.0,0.0,0.0,,,,,,
317,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",705,6.0,6.0,845.0,-1.0,0.0,0.0,,,,,,
318,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",2105,-3.0,0.0,2242.0,-18.0,0.0,0.0,,,,,,
